Wavelenght (m);Intensity (counts)
740.160;279.2999878
740.728;247.8000031
741.296;275.5
741.865;243.8999939
742.433;322.7000122
743.001;267.8999939
743.569;229.3999939
744.137;218.8999939
744.706;232.8000031
745.274;217.1999969
745.842;234.3999939
746.410;258.7000122
746.977;232.1000061
747.545;272.6000061
748.113;263.7999878
748.681;240.8000031
749.249;235.6999969
749.816;219.5
750.384;175.1999969
750.952;218.3000031
751.519;195
752.087;207.8999939
752.654;246.6000061
753.222;208
753.789;226.6000061
754.356;315.7000122
754.924;186.6999969
755.491;234.3000031
756.058;283
756.625;254.3000031
757.192;253.3999939
757.760;190.1000061
758.327;174.6000061
758.894;227.3999939
759.461;286.1000061
760.028;227.5
760.594;199
761.161;248.1999969
761.728;240.3999939
762.295;250.1000061
762.861;296.3999939
763.428;186.3000031
763.995;195.1000061
764.561;204.1999969
765.128;222.3999939
765.694;196.5
766.261;223.3999939
766.827;231.1999969
767.394;238.6999969
767.960;229.3000031
768.526;202
769.092;220.1999969
769.659;224.8999939
770.225;129.5
770.791;169.6000061
771.357;170.6999969
771.923;305.3999939
772.489;396.7000122
773.055;408.7999878
773.621;369.2999878
774.187;315.2000122
774.752;186.3999939
775.318;198.1999969
775.884;204
776.450;180.8999939
777.015;155.3000031
777.581;286.7999878
778.146;223.3999939
778.712;176.6000061
779.277;216.6000061
779.843;127.8000031
780.408;173.1999969
780.973;140.1000061
781.539;189.3999939
782.104;159.8000031
782.669;158.5
783.234;152.6999969
783.799;163
784.364;187.8000031
784.929;161.1000061
785.494;92.40000153
786.059;129.8999939
786.624;123.5
787.189;133.8000031
787.754;240.1000061
788.319;176.5
788.883;137.5
789.448;286.8999939
790.013;148
790.577;150.5
791.142;156.6000061
791.706;139.3999939
792.271;249.1999969
792.835;123.0999985
793.400;116.8000031
793.964;287.6000061
794.528;142.3999939
795.092;162.1999969
795.657;133.5
796.221;126.5
796.785;150.5
797.349;216.6000061
797.913;97.19999695
798.477;84.19999695
799.041;194.6999969
799.605;113.3000031
800.169;142
800.732;169.8000031
801.296;81.90000153
801.860;96.69999695
802.423;138.6999969
802.987;140.3000031
803.551;160.8999939
804.114;174.8999939
804.678;181.3999939
805.241;116.4000015
805.805;110.9000015
806.368;117.8000031
806.931;69.69999695
807.495;222.1000061
808.058;160.6999969
808.621;233.5
809.184;174.3999939
809.747;170
810.310;64.19999695
810.873;129.3999939
811.436;188.8000031
811.999;97.80000305
812.562;153.6999969
813.125;118.6999969
813.688;114
814.250;160.3000031
814.813;146.1999969
815.376;177.8000031
815.938;247.3000031
816.501;154.1000061
817.063;155.6000061
817.626;191.8000031
818.188;135.8000031
818.751;177.1000061
819.313;101.0999985
819.875;181
820.438;159.6000061
821.000;176.1999969
821.562;113.5999985
822.124;151.5
822.686;100.0999985
823.248;125
823.810;146.3000031
824.372;100.4000015
824.934;123
825.496;91.59999847
826.058;118
826.619;128.6999969
827.181;100.6999969
827.743;133.1000061
828.304;114.9000015
828.866;130.3999939
829.428;111.0999985
829.989;124.4000015
830.550;113.6999969
831.112;151.3000031
831.673;84.5
832.235;193.8999939
832.796;89.5
833.357;209.3000031
833.918;154
834.479;157.8999939
835.040;96.40000153
835.601;99.09999847
836.162;79.5
836.723;90
837.284;102
837.845;102.6999969
838.406;115.1999969
838.967;84.40000153
839.528;110.6999969
840.088;125.8000031
840.649;179.6999969
841.209;144.1999969
841.770;125.5999985
842.331;164.1999969
842.891;67.90000153
843.451;63.40000153
844.012;126
844.572;68.5
845.132;104
845.693;100.5999985
846.253;99.30000305
846.813;82.59999847
847.373;155.3999939
847.933;148.6999969
848.493;57.40000153
849.053;134.5
849.613;55.29999924
850.173;119.8000031
850.733;111.4000015
851.293;153.8999939
851.852;64.30000305
852.412;94.80000305
852.972;234.6999969
853.531;68.90000153
854.091;101.0999985
854.650;67.30000305
855.210;119.5999985
855.769;117.9000015
856.329;61.5
856.888;86.09999847
857.447;95.59999847
858.006;130.6000061
858.566;60.09999847
859.125;160.1000061
859.684;102.5
860.243;97.59999847
860.802;142.8000031
861.361;104.8000031
861.920;108.5
862.479;174.8000031
863.038;42.20000076
863.596;180.3000031
864.155;126.5
864.714;97.09999847
865.272;219.3999939
865.831;108.9000015
866.390;116.4000015
866.948;94.69999695
867.507;47.90000153
868.065;75.40000153
868.623;88.19999695
869.182;66.19999695
869.740;108
870.298;119.1999969
870.856;119.1999969
871.415;81.40000153
871.973;86.09999847
872.531;71.09999847
873.089;112.1999969
873.647;154.3000031
874.205;103.3000031
874.763;90.5
875.320;238.6999969
875.878;135.8000031
876.436;92.09999847
876.994;128.6999969
877.551;121.9000015
878.109;162.1999969
878.666;97.40000153
879.224;97.30000305
879.781;115.5
880.339;111.9000015
880.896;94.19999695
881.453;45.90000153
882.011;71.59999847
882.568;99.09999847
883.125;21.20000076
883.682;73.59999847
884.239;113.6999969
884.796;121.3000031
885.353;56.59999847
885.910;108.5
886.467;71.40000153
887.024;97
887.581;65.5
888.138;78.09999847
888.694;125.1999969
889.251;122.1999969
889.808;72.69999695
890.364;128.8999939
890.921;96.30000305
891.477;65.90000153
892.034;85.30000305
892.590;83.5
893.147;15.39999962
893.703;147.5
894.259;35.29999924
894.815;151.3000031
895.371;182.8000031
895.928;83.80000305
896.484;75
897.040;83.30000305
897.596;79.80000305
898.152;169.6999969
898.708;86.40000153
899.263;172.8000031
899.819;46.09999847
900.375;173.8999939
900.931;70
901.486;116.5999985
902.042;120.0999985
902.597;73.80000305
903.153;135.3999939
903.708;79.30000305
904.264;90.30000305
904.819;144
905.375;142.6999969
